Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
13,Levitating (feat. DaBaby),Dua Lipa,2791592,'https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF',0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977, 'audio_features', '5nujrmhLynf4yMoMtj8AQF', 'spotify:track:5nujrmhLynf4yMoMtj8AQF', 'https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF', 'https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF',203064,4
14,Pepas,Farruko,2687421,'https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k',0.762,0.766,7,-3.955,1,0.0343,0.00776,0.0000698,0.128,0.442,130.001, 'audio_features', '5fwSHlTEWpluwOM0Sxnh5k', 'spotify:track:5fwSHlTEWpluwOM0Sxnh5k', 'https://api.spotify.com/v1/tracks/5fwSHlTEWpluwOM0Sxnh5k', 'https://api.spotify.com/v1/audio-analysis/5fwSHlTEWpluwOM0Sxnh5k',287120,4
15,traitor,Olivia Rodrigo,2573046,'https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT',0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607, 'audio_features', '5CZ40GBx1sQ9agT82CLQCT', 'spotify:track:5CZ40GBx1sQ9agT82CLQCT', 'https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT', 'https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT',229227,4
16,Need To Know,Doja Cat,2552475,'https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi',0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041, 'audio_features', '3Vi5XqYrmQgOYBajMWSvCi', 'spotify:track:3Vi5XqYrmQgOYBajMWSvCi', 'https://api.spotify.com/v1/tracks/3Vi5XqYrmQgOYBajMWSvCi', 'https://api.spotify.com/v1/audio-analysis/3Vi5XqYrmQgOYBajMWSvCi',210560,4
17,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2537760,'https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI',0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03, 'audio_features', '4iJyoBOLtHqaGxP12qzhQI', 'spotify:track:4iJyoBOLtHqaGxP12qzhQI', 'https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI', 'https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI',198082,4
18,Permission to Dance,BTS,2479941,'https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u',0.702,0.741,9,-5.33,1,0.0427,0.00544,0,0.337,0.646,124.925, 'audio_features', '5eXBXreN3d1zdj6Sa8dS0u', 'spotify:track:5eXBXreN3d1zdj6Sa8dS0u', 'https://api.spotify.com/v1/tracks/5eXBXreN3d1zdj6Sa8dS0u', 'https://api.spotify.com/v1/audio-analysis/5eXBXreN3d1zdj6Sa8dS0u',187585,4
19,Butter,BTS,2379148,'https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN',0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997, 'audio_features', '2bgTY4UwhfBYhGT4HUYStN', 'spotify:track:2bgTY4UwhfBYhGT4HUYStN', 'https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN', 'https://api.spotify.com/v1/audio-analysis/2bgTY4UwhfBYhGT4HUYStN',164442,4
20,AM Remix,Nio Garcia,2286893,'https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho',0.743,0.655,6,-5.015,0,0.159,0.114,0,0.0764,0.785,172.031, 'audio_features', '05bfbizlM5AX6Mf1RRyMho', 'spotify:track:05bfbizlM5AX6Mf1RRyMho', 'https://api.spotify.com/v1/tracks/05bfbizlM5AX6Mf1RRyMho', 'https://api.spotify.com/v1/audio-analysis/05bfbizlM5AX6Mf1RRyMho',261335,4
21,deja vu,Olivia Rodrigo,2230199,'https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr',0.442,0.612,2,-7.222,1,0.112,0.584,0.0000057,0.37,0.178,180.917, 'audio_features', '6HU7h9RYOaPRFeh0R3UeAr', 'spotify:track:6HU7h9RYOaPRFeh0R3UeAr', 'https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr', 'https://api.spotify.com/v1/audio-analysis/6HU7h9RYOaPRFeh0R3UeAr',215507,4
22,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2205114,'https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy',0.65,0.825,0,-4.645,1,0.0325,0.0215,0.0000244,0.0936,0.593,118.091, 'audio_features', '37BZB0z9T8Xu7U3e65qxFy', 'spotify:track:37BZB0z9T8Xu7U3e65qxFy', 'https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy', 'https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy',191014,4
