,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,Sobrio,Maluma,1312265,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
56,Woman,"Doja Cat",1306455,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
57,"You Right","Doja Cat",1292998,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
58,"Mood (feat. iann dior)",24kGoldn,1292519,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
59,Freaks,"Surf Curse",1259804,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
60,"my future","Billie Eilish",1258534,https://open.spotify.com/track/3YUMWmx8EJq0DurfuIwoGh
61,"Your Power","Billie Eilish",1250325,https://open.spotify.com/track/042Sl6Mn83JHyLEqdK7uI0
62,"Halley's Comet","Billie Eilish",1248415,https://open.spotify.com/track/5XsAal7ZcWg1I5T4NcRjkv
63,"The Business",Tiësto,1238971,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
64,"Fiel - Remix",Wisin,1236265,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
65,"Love Tonight - Edit",Shouse,1209412,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
66,"Therefore I Am","Billie Eilish",1209336,https://open.spotify.com/track/20R4HfKloPKgXDqU7UKk3x
67,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,1179872,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
68,"NOT SOBER (feat. Polo G & Stunna Gambino)","The Kid LAROI",1169188,https://open.spotify.com/track/1JXBNvlDEl2epKSJ9EOgKX
69,GOLDWING,"Billie Eilish",1168233,https://open.spotify.com/track/0FfqyjhB6Kspvit1oOo7ax
70,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1167654,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
71,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,1160498,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq
72,2/Catorce,"Rauw Alejandro",1157520,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
73,Loco,"Justin Quiles",1139313,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
74,"Sweater Weather","The Neighbourhood",1138208,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
75,París,Ingratax,1136893,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
76,Rasputin,Majestic,1131652,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
77,"Heartbreak Anniversary",Giveon,1131397,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
78,"Wants and Needs (feat. Lil Baby)",Drake,1120640,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
79,"Save Your Tears","The Weeknd",1119977,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
80,"Male Fantasy","Billie Eilish",1112481,https://open.spotify.com/track/4ak9GGe6afmi2HbxEjvhIC
81,"Build a Bitch","Bella Poarch",1112112,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
82,Run,OneRepublic,1107668,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
83,"Someone You Loved","Lewis Capaldi",1105227,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
84,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1100843,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
85,"Don't Start Now","Dua Lipa",1099181,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
86,"Thot Shit","Megan Thee Stallion",1096768,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
87,"Botella Tras Botella","Gera MX",1096540,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
88,brutal,"Olivia Rodrigo",1091382,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
89,"Your Love (9PM)",ATB,1068695,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
90,"EL MAKINON","KAROL G",1056052,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
91,Fiel,"Los Legendarios",1006544,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
92,Dinero,"Trinidad Cardona",1005191,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
93,"In Da Getto","J Balvin",1000483,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
94,"Dance Monkey","Tones And I",993775,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
95,telepatía,"Kali Uchis",986814,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
96,"double take",dhruv,986470,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
97,Levitating,"Dua Lipa",986309,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
98,OverHeated,"Billie Eilish",976403,https://open.spotify.com/track/5uSG6fUPRaehaV820zcpsK
99,Arcade,"Duncan Laurence",967131,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
